EmployeeID;EmploymentType;Department;Gender;AgeGroup;Education;JobRole;JobSatisfaction;Performance;WorkLifeBalance;HireDate;TerminationDate;Salary
55;Full-time;IT;Other;60+;Bachelor;Sales Executive;Very High;Excellent;Better;15/02/2020;12/11/2022;154533,31
56;Full-time;Finance;Female;20-30;Below College;Manager;Low;Outstanding;Good;20/01/2022;;135403,35
57;Full-time;Sales;Other;40-50;College;Research Scientist;Very High;Excellent;Good;09/08/2020;16/08/2022;151579,31
58;Contractor;Research & Development;Female;30-40;Below College;Research Scientist;Low;Outstanding;Better;10/06/2020;;169456,19
59;Full-time;HR;Female;50-60;Bachelor;Sales Executive;Medium;Outstanding;Good;01/08/2020;25/12/2021;134011,54
60;Full-time;Marketing;Female;30-40;Below College;Sales Executive;Medium;Low;Best;21/05/2020;;121503,38
61;Contractor;HR;Male;20-30;Doctor;IT Analyst;Very High;Excellent;Best;17/05/2020;;87829,95
62;Contractor;HR;Female;20-30;Bachelor;IT Analyst;High;Low;Bad;22/01/2022;03/04/2021;119418,26
63;Full-time;Sales;Male;50-60;Bachelor;IT Analyst;High;Excellent;Good;19/08/2020;27/02/2023;104730,99
64;Full-time;Research & Development;Female;50-60;College;Finance Director;Low;Good;Best;13/05/2020;27/07/2021;163049,37
65;Full-time;Finance;Male;Below 20;College;IT Analyst;Very High;Outstanding;Best;09/07/2020;;55513,08
66;Contractor;Research & Development;Other;Below 20;Bachelor;IT Analyst;High;Good;Bad;22/09/2020;;69520,23
67;Full-time;Marketing;Male;50-60;Below College;Finance Director;Low;Low;Better;09/05/2020;;98579,59
68;Contractor;Sales;Male;30-40;Bachelor;Manager;Very High;Low;Bad;22/08/2020;;59042,4
69;Contractor;Sales;Female;50-60;Doctor;HR Specialist;Very High;Low;Best;09/11/2020;;70655,22
70;Contractor;Marketing;Male;50-60;Below College;Research Scientist;Medium;Good;Good;12/09/2020;23/06/2022;112702,4
71;Full-time;IT;Male;40-50;Below College;IT Analyst;Medium;Good;Bad;07/02/2020;11/05/2021;146510,97
72;Full-time;Finance;Female;40-50;College;Sales Executive;Low;Low;Best;10/08/2020;;80950,01
73;Contractor;HR;Male;60+;Bachelor;HR Specialist;High;Low;Good;03/02/2020;04/12/2021;124876,78
74;Contractor;HR;Other;60+;Bachelor;HR Specialist;Very High;Excellent;Bad;23/05/2020;;117000,95
75;Contractor;Research & Development;Male;20-30;Doctor;HR Specialist;Low;Low;Best;28/12/2020;14/08/2023;96665,46
76;Full-time;IT;Male;60+;Bachelor;IT Analyst;Medium;Excellent;Good;15/07/2020;;134139,19
77;Contractor;Finance;Female;60+;Master;Finance Director;Low;Low;Good;16/12/2020;;123330,19
78;Contractor;Research & Development;Female;40-50;Below College;Research Scientist;Very High;Outstanding;Best;27/09/2020;;160164,48
79;Contractor;Finance;Female;50-60;Doctor;HR Specialist;Very High;Excellent;Better;27/05/2020;15/08/2022;106360,3
80;Full-time;IT;Male;60+;College;HR Specialist;High;Excellent;Better;25/08/2020;16/03/2022;94233,01
81;Contractor;Research & Development;Female;20-30;Doctor;Sales Executive;Medium;Low;Best;06/06/2020;;110916,18
82;Full-time;Sales;Male;40-50;College;Sales Executive;Low;Outstanding;Bad;05/07/2020;08/02/2023;143419,5
83;Contractor;Marketing;Female;Below 20;Below College;Finance Director;Low;Low;Bad;15/08/2020;;76039,84
84;Full-time;Marketing;Male;20-30;Bachelor;Finance Director;High;Excellent;Better;15/12/2020;;106311,41
85;Full-time;Sales;Male;60+;Master;Finance Director;Low;Excellent;Best;26/01/2020;;93503,41
86;Full-time;Sales;Male;20-30;Master;Manager;Low;Outstanding;Bad;27/12/2020;;101522,1
87;Contractor;IT;Female;40-50;Master;Finance Director;High;Low;Better;06/02/2020;31/01/2022;104828,07
88;Contractor;Finance;Other;30-40;Master;Sales Executive;Very High;Low;Best;05/03/2020;13/06/2021;78494,83
89;Full-time;Finance;Male;20-30;Bachelor;Manager;High;Excellent;Better;22/02/2020;;68724,99
90;Full-time;Research & Development;Male;40-50;Below College;Research Scientist;Very High;Low;Bad;12/10/2020;;157991,44
91;Contractor;Research & Development;Female;40-50;Bachelor;Finance Director;Medium;Low;Bad;09/12/2020;;97941,49
92;Full-time;Marketing;Female;30-40;Bachelor;Research Scientist;Low;Excellent;Best;26/12/2021;;72809,33
93;Contractor;HR;Male;Below 20;College;Finance Director;Very High;Outstanding;Better;24/04/2020;;54106,54
94;Full-time;HR;Female;50-60;Doctor;Research Scientist;Very High;Outstanding;Best;12/01/2020;;96703,67
95;Full-time;Research & Development;Female;30-40;Below College;Sales Executive;Very High;Excellent;Better;17/04/2020;;134575,67
96;Contractor;IT;Female;60+;Doctor;Sales Executive;Low;Low;Good;01/04/2020;;100408,5
97;Contractor;Research & Development;Male;Below 20;Bachelor;Research Scientist;Medium;Low;Good;21/09/2020;;152130,81
98;Contractor;IT;Female;20-30;College;Finance Director;High;Outstanding;Better;21/05/2020;;153057,08
99;Full-time;Marketing;Female;60+;Doctor;Research Scientist;Low;Good;Good;14/11/2020;;90042,42
100;Full-time;Sales;Female;30-40;College;IT Analyst;Very High;Good;Better;19/02/2020;;131377,48
101;Full-time;Sales;Female;40-50;Below College;Sales Executive;High;Good;Better;19/03/2020;;72655,93
102;Full-time;IT;Female;60+;Bachelor;Finance Director;Low;Excellent;Good;14/05/2020;;107511,95
103;Contractor;HR;Male;40-50;Bachelor;Research Scientist;Very High;Good;Better;27/09/2020;01/05/2022;86520,95
104;Contractor;Marketing;Male;20-30;Below College;HR Specialist;Very High;Excellent;Good;25/04/2020;;58167,53
105;Full-time;HR;Other;60+;Below College;Finance Director;Very High;Excellent;Good;26/12/2021;;58168,16
106;Contractor;Research & Development;Male;30-40;Doctor;HR Specialist;Very High;Low;Good;04/01/2020;24/07/2022;126138,43
107;Full-time;IT;Female;20-30;Master;Sales Executive;Very High;Good;Good;12/01/2020;;178629,75
108;Contractor;IT;Male;20-30;Doctor;Sales Executive;High;Good;Good;18/03/2020;;114160,23
109;Contractor;Finance;Female;60+;Below College;Finance Director;Very High;Low;Better;14/02/2020;;78853,67
110;Contractor;Sales;Female;Below 20;Master;Research Scientist;Very High;Low;Good;17/04/2020;;132178,34
111;Contractor;Marketing;Male;40-50;Below College;Manager;Very High;Excellent;Better;25/11/2020;;68812,54
112;Full-time;Marketing;Female;30-40;College;Finance Director;Medium;Excellent;Bad;14/02/2020;;118126,72
113;Contractor;Research & Development;Male;50-60;Master;Sales Executive;Low;Excellent;Best;07/12/2020;24/02/2023;68855,19
114;Full-time;Sales;Female;30-40;College;IT Analyst;Very High;Excellent;Bad;13/05/2020;11/10/2021;109964,55
115;Contractor;Research & Development;Male;30-40;Doctor;Finance Director;Low;Good;Good;26/09/2020;10/12/2021;144530,97
116;Contractor;Finance;Male;Below 20;Doctor;IT Analyst;Very High;Low;Bad;13/02/2020;;93093,65
117;Contractor;Sales;Female;20-30;College;Finance Director;Low;Excellent;Better;27/04/2020;;157296,49
118;Contractor;HR;Female;40-50;Bachelor;IT Analyst;Low;Low;Bad;05/04/2020;13/10/2022;97376,42
119;Full-time;Research & Development;Male;40-50;College;Finance Director;Very High;Outstanding;Good;04/06/2020;27/05/2023;156815,1
120;Contractor;Marketing;Female;40-50;Master;Manager;Low;Outstanding;Better;24/06/2020;;113817,11
121;Full-time;Research & Development;Female;40-50;Bachelor;IT Analyst;Very High;Outstanding;Good;28/07/2020;;134360,29
122;Full-time;Sales;Male;50-60;Doctor;Manager;Medium;Low;Best;24/07/2020;;72269,49
123;Full-time;IT;Male;50-60;Master;Manager;High;Good;Bad;28/10/2020;13/03/2022;172476,88
124;Contractor;Sales;Female;30-40;Bachelor;Finance Director;Medium;Low;Best;25/09/2020;;91951,15
125;Full-time;Finance;Female;50-60;College;Manager;Medium;Excellent;Better;27/11/2020;12/11/2022;132335,34
126;Contractor;IT;Male;50-60;Master;IT Analyst;Medium;Low;Best;05/01/2020;17/11/2022;149126,67
127;Full-time;IT;Male;30-40;Bachelor;Research Scientist;Low;Good;Best;25/08/2020;15/06/2022;107119,09
128;Full-time;HR;Female;30-40;Doctor;Research Scientist;High;Outstanding;Best;14/03/2020;07/10/2021;116083,91
129;Full-time;Sales;Male;60+;Doctor;IT Analyst;Low;Excellent;Better;13/03/2020;;59450,62
130;Contractor;IT;Female;40-50;Doctor;IT Analyst;Medium;Excellent;Bad;08/09/2023;;170230,16
131;Full-time;IT;Female;40-50;Master;Sales Executive;Very High;Outstanding;Better;06/07/2020;06/03/2022;118327,27
132;Full-time;Research & Development;Male;60+;Bachelor;Research Scientist;Very High;Low;Bad;05/09/2020;;127887,22
133;Full-time;Sales;Other;20-30;Below College;HR Specialist;Very High;Low;Bad;05/12/2020;;148032,21
134;Full-time;Marketing;Female;60+;College;Manager;Medium;Outstanding;Good;26/11/2020;;53291,21
135;Contractor;Finance;Male;20-30;College;IT Analyst;High;Good;Best;28/09/2020;;98310,35
136;Full-time;IT;Female;50-60;Bachelor;Manager;Very High;Excellent;Bad;17/09/2020;02/12/2022;176575,25
137;Contractor;IT;Female;60+;College;Sales Executive;Medium;Excellent;Bad;16/04/2020;;161392,44
138;Full-time;Research & Development;Other;Below 20;College;Sales Executive;Medium;Outstanding;Best;25/08/2021;10/05/2023;111681,38
139;Full-time;Sales;Female;50-60;Bachelor;Manager;Low;Low;Good;19/01/2021;;70352,53
140;Contractor;Marketing;Male;60+;Doctor;IT Analyst;Very High;Good;Bad;18/01/2021;;98179,08
141;Full-time;Sales;Male;40-50;College;Manager;Very High;Outstanding;Good;24/08/2020;;130541,45
142;Full-time;Sales;Male;40-50;College;Finance Director;High;Good;Best;17/11/2020;21/10/2023;89432,37
143;Contractor;Marketing;Male;30-40;Doctor;Finance Director;High;Excellent;Bad;09/11/2020;;76850,59
144;Contractor;Research & Development;Male;20-30;Bachelor;Manager;Low;Low;Better;27/02/2020;;101300,93
145;Full-time;IT;Female;40-50;Doctor;Manager;Medium;Excellent;Good;12/03/2020;;63626,47
146;Full-time;IT;Female;30-40;Bachelor;Manager;High;Excellent;Good;07/07/2020;;95971,41
147;Full-time;IT;Other;50-60;Below College;HR Specialist;High;Excellent;Better;15/08/2020;;96332,61
148;Contractor;Sales;Female;30-40;Below College;Research Scientist;Medium;Low;Bad;23/02/2020;06/05/2022;94987,31
149;Full-time;Finance;Male;50-60;Below College;Manager;Very High;Good;Best;18/12/2020;;73599,68
150;Full-time;Finance;Male;30-40;Master;Research Scientist;Low;Good;Bad;19/08/2020;21/12/2021;99639,01
151;Contractor;Finance;Female;50-60;Bachelor;Research Scientist;High;Outstanding;Best;01/07/2020;;116188,98
152;Contractor;IT;Other;Below 20;College;Research Scientist;High;Outstanding;Best;08/08/2020;;130902,31
153;Contractor;Research & Development;Female;50-60;Below College;Research Scientist;Low;Good;Bad;07/08/2020;;135357,16
154;Full-time;Sales;Male;40-50;Doctor;IT Analyst;Very High;Excellent;Best;23/06/2020;;153824,04
155;Contractor;Marketing;Male;20-30;College;Research Scientist;High;Good;Better;01/06/2020;;51787,42
156;Contractor;Marketing;Male;60+;College;Research Scientist;Medium;Low;Better;05/01/2020;;69806,42
157;Full-time;Research & Development;Female;Below 20;Doctor;Manager;High;Low;Bad;12/10/2021;;110235,53
158;Contractor;HR;Female;20-30;Doctor;Research Scientist;High;Excellent;Best;25/09/2020;;118378,09
159;Contractor;Finance;Male;20-30;Master;Sales Executive;Very High;Good;Better;12/09/2020;;96202,67
160;Contractor;HR;Female;Below 20;Master;HR Specialist;Low;Outstanding;Bad;06/08/2020;13/07/2022;64415,23
161;Contractor;IT;Male;30-40;Doctor;Manager;High;Outstanding;Good;24/10/2020;;177610,31
162;Contractor;Finance;Male;Below 20;Bachelor;Manager;Very High;Low;Bad;12/10/2020;;99353,64
163;Full-time;Finance;Male;20-30;College;Manager;Very High;Low;Bad;06/07/2020;31/08/2022;140085,33
164;Contractor;HR;Male;40-50;Bachelor;IT Analyst;Very High;Low;Better;17/02/2020;;80747,23
165;Full-time;Sales;Female;60+;Bachelor;IT Analyst;Very High;Outstanding;Best;02/09/2020;;149469,42
166;Contractor;Marketing;Male;Below 20;Doctor;Manager;Low;Excellent;Bad;02/11/2020;;48326,62
167;Contractor;Marketing;Female;60+;Master;Finance Director;Very High;Excellent;Bad;16/09/2020;;57446,59
168;Contractor;Sales;Male;40-50;Below College;Sales Executive;Very High;Excellent;Bad;12/04/2020;;117758,29
169;Full-time;Research & Development;Female;Below 20;Below College;HR Specialist;Very High;Outstanding;Best;20/04/2020;;128655,46
170;Full-time;Research & Development;Female;60+;Bachelor;IT Analyst;Medium;Excellent;Good;19/09/2020;;84330,53
171;Contractor;Finance;Female;30-40;Master;Research Scientist;Very High;Low;Best;01/04/2020;21/11/2021;72186,1
172;Contractor;IT;Male;60+;Doctor;Research Scientist;Medium;Good;Bad;14/05/2020;30/01/2022;83361,06
173;Contractor;Research & Development;Male;20-30;College;IT Analyst;High;Good;Good;23/10/2020;;171225,47
174;Full-time;IT;Male;50-60;Below College;IT Analyst;Medium;Good;Best;04/03/2020;;113202,1
175;Contractor;Marketing;Other;Below 20;Master;Finance Director;Very High;Good;Good;12/09/2020;18/12/2022;95207,06
176;Full-time;IT;Female;60+;College;Sales Executive;Medium;Low;Best;12/03/2020;;172822,13
177;Full-time;Research & Development;Male;30-40;Bachelor;Research Scientist;Very High;Outstanding;Better;22/04/2020;;86298,69
178;Contractor;Sales;Other;Below 20;Below College;Research Scientist;Low;Outstanding;Bad;28/02/2020;;107049,69
179;Full-time;Finance;Male;30-40;Master;Sales Executive;Low;Excellent;Best;08/06/2020;;137074,74
180;Full-time;IT;Male;Below 20;College;Sales Executive;Medium;Outstanding;Good;15/02/2020;;99331,23
181;Full-time;Marketing;Male;Below 20;Master;Finance Director;Very High;Good;Best;17/05/2020;;135452,29
182;Contractor;IT;Female;60+;Doctor;HR Specialist;High;Outstanding;Bad;08/07/2020;;111398,51
183;Full-time;HR;Male;40-50;College;HR Specialist;Very High;Low;Bad;18/11/2020;07/07/2023;100966,42
184;Full-time;Sales;Other;Below 20;Master;Research Scientist;Low;Outstanding;Better;11/03/2020;;155925,85
185;Full-time;Marketing;Male;60+;Doctor;Research Scientist;High;Good;Bad;12/01/2020;;97779,21
186;Full-time;Research & Development;Male;Below 20;Below College;Finance Director;Low;Good;Bad;03/05/2020;;69353,03
187;Full-time;Finance;Male;30-40;College;HR Specialist;Medium;Excellent;Good;19/09/2020;;87475,78
188;Full-time;Finance;Male;20-30;Master;HR Specialist;Medium;Low;Better;07/05/2020;;146941,23
189;Contractor;IT;Male;20-30;Doctor;Sales Executive;Very High;Excellent;Better;16/06/2020;05/06/2022;155284,44
190;Contractor;Sales;Female;50-60;College;Manager;Low;Excellent;Best;19/10/2021;;66148,97
191;Contractor;IT;Female;Below 20;Master;Manager;Medium;Excellent;Good;07/02/2020;;173962,67
192;Full-time;Sales;Female;40-50;Master;Sales Executive;Very High;Outstanding;Better;28/06/2020;;70721,89
193;Contractor;HR;Male;Below 20;Below College;Finance Director;Medium;Good;Good;03/10/2020;18/07/2022;130833,08
194;Full-time;IT;Female;20-30;College;Finance Director;Low;Good;Good;18/06/2020;;122631,73
195;Full-time;IT;Other;30-40;College;HR Specialist;Very High;Outstanding;Good;22/03/2020;;117237,1
196;Full-time;IT;Male;30-40;Bachelor;HR Specialist;High;Low;Best;18/11/2020;;164303,01
197;Full-time;IT;Female;20-30;Bachelor;IT Analyst;Medium;Low;Best;02/12/2020;19/05/2023;79295,39
198;Full-time;Sales;Female;Below 20;Bachelor;Manager;Medium;Good;Better;25/02/2020;;121069,31
199;Full-time;Research & Development;Female;30-40;Bachelor;Manager;High;Excellent;Best;11/11/2020;;142776,39
200;Full-time;Sales;Female;50-60;Master;Research Scientist;Medium;Good;Bad;09/07/2020;20/11/2021;129408,7
201;Contractor;IT;Male;20-30;College;Manager;Low;Good;Good;24/08/2021;;71739,38
202;Contractor;Finance;Other;20-30;Below College;Finance Director;High;Excellent;Better;23/01/2021;06/09/2023;126348,99
203;Full-time;Sales;Other;40-50;Below College;Manager;Very High;Good;Good;20/08/2021;;142458,01
204;Full-time;IT;Other;60+;Bachelor;Sales Executive;Low;Low;Better;23/03/2021;23/01/2023;132088,29
205;Full-time;Finance;Female;Below 20;Master;Sales Executive;Low;Good;Bad;28/10/2021;04/10/2023;95212,86
206;Contractor;Research & Development;Male;Below 20;Master;Manager;Low;Outstanding;Better;19/07/2021;;135687,96
207;Full-time;HR;Other;40-50;College;Finance Director;Low;Low;Better;22/04/2021;28/03/2024;57506,31
208;Full-time;HR;Female;60+;Doctor;Research Scientist;Low;Good;Best;11/04/2021;;141069,37
209;Contractor;Marketing;Male;40-50;Bachelor;Manager;Low;Excellent;Better;27/05/2021;22/12/2023;57951,92
210;Full-time;Research & Development;Male;30-40;Master;Manager;Low;Low;Best;09/10/2021;;105837,8
211;Full-time;IT;Female;40-50;Master;Research Scientist;Low;Outstanding;Good;02/11/2021;08/09/2023;64382,6
212;Contractor;Sales;Female;60+;Master;Finance Director;High;Good;Best;09/01/2021;;125221,23
213;Full-time;Finance;Female;60+;Bachelor;Manager;High;Good;Better;21/11/2021;23/06/2023;151845,56
214;Full-time;Finance;Other;60+;Doctor;Research Scientist;Medium;Good;Bad;10/01/2021;;115712,73
215;Contractor;Research & Development;Male;50-60;Bachelor;HR Specialist;High;Outstanding;Good;01/06/2021;;76989
216;Full-time;IT;Male;40-50;Doctor;IT Analyst;High;Good;Best;04/10/2021;;167483,72
217;Full-time;Marketing;Female;40-50;College;Sales Executive;High;Outstanding;Better;17/10/2022;;148857,46
218;Full-time;IT;Female;40-50;Doctor;Finance Director;Medium;Good;Good;20/11/2021;;154949
219;Contractor;IT;Female;40-50;Below College;Manager;Medium;Outstanding;Bad;03/12/2021;;103634,54
220;Full-time;Sales;Male;40-50;Master;Finance Director;High;Good;Good;20/12/2021;;150938,8
221;Full-time;Finance;Male;30-40;Below College;HR Specialist;Low;Good;Good;04/04/2021;26/03/2024;83679,05
222;Contractor;Marketing;Male;20-30;Below College;Manager;Medium;Low;Bad;06/03/2021;16/01/2023;103837,75
223;Full-time;HR;Male;40-50;Doctor;HR Specialist;High;Good;Better;10/07/2021;10/10/2023;78256,25
224;Full-time;HR;Other;50-60;Below College;Manager;Medium;Good;Bad;07/08/2021;15/02/2023;119604,96
225;Contractor;HR;Female;40-50;Master;HR Specialist;Very High;Good;Bad;13/08/2021;;79384,26
226;Contractor;Research & Development;Male;30-40;Bachelor;Finance Director;High;Excellent;Bad;18/01/2021;;149452,7
227;Full-time;Finance;Male;Below 20;Doctor;HR Specialist;Low;Excellent;Best;13/10/2021;;156190,14
228;Contractor;Finance;Female;30-40;Bachelor;Finance Director;Low;Good;Good;14/04/2021;;76817,74
229;Contractor;IT;Female;60+;Below College;Finance Director;High;Good;Bad;06/03/2021;;155428,65
230;Contractor;Research & Development;Female;30-40;College;Research Scientist;Very High;Excellent;Better;17/09/2021;;70024,58
231;Contractor;Research & Development;Male;60+;Below College;Manager;High;Low;Best;11/11/2021;;123404,55
232;Contractor;Marketing;Female;30-40;College;HR Specialist;Very High;Excellent;Better;24/02/2021;;57995,21
233;Contractor;IT;Male;60+;College;Research Scientist;Very High;Excellent;Bad;19/10/2021;;99230,92
234;Contractor;Finance;Male;30-40;Doctor;HR Specialist;Medium;Outstanding;Good;07/12/2021;;133262,26
235;Contractor;HR;Male;40-50;Doctor;HR Specialist;Low;Outstanding;Best;12/05/2021;;52842,73
236;Full-time;IT;Female;60+;Master;IT Analyst;Low;Low;Better;03/08/2021;02/03/2023;167852,75
237;Full-time;Marketing;Female;40-50;College;Manager;Very High;Good;Better;28/04/2021;09/07/2023;111647,88
238;Contractor;Research & Development;Female;30-40;Below College;Manager;Medium;Good;Bad;13/09/2021;;148506,73
239;Full-time;Sales;Other;50-60;Doctor;Research Scientist;High;Good;Best;15/06/2021;;58581,15
240;Full-time;HR;Female;20-30;Bachelor;Sales Executive;High;Good;Bad;04/05/2021;23/10/2023;60301,05
241;Contractor;Research & Development;Male;40-50;College;Finance Director;Very High;Low;Bad;11/08/2021;;145471,63
242;Contractor;Finance;Male;30-40;Bachelor;Research Scientist;Very High;Outstanding;Good;14/07/2021;30/08/2022;64514,7
243;Full-time;Marketing;Male;50-60;Doctor;Manager;Very High;Good;Better;19/02/2021;10/04/2023;55653,55
244;Full-time;Research & Development;Female;Below 20;Master;Sales Executive;Medium;Good;Best;11/04/2021;19/02/2024;176114,73
245;Full-time;HR;Male;50-60;Bachelor;Sales Executive;High;Low;Best;06/10/2021;25/01/2023;121889,08
246;Full-time;Research & Development;Male;40-50;Bachelor;Research Scientist;High;Excellent;Good;13/03/2021;;121517,41
247;Full-time;Research & Development;Female;20-30;Bachelor;Manager;Medium;Excellent;Best;06/10/2021;14/07/2024;179822,88
248;Full-time;Research & Development;Female;30-40;Master;IT Analyst;Very High;Low;Better;17/11/2021;;100235,42
249;Contractor;HR;Female;30-40;Doctor;HR Specialist;Very High;Excellent;Better;08/01/2021;20/02/2023;67131,65
250;Full-time;Marketing;Female;30-40;College;HR Specialist;High;Outstanding;Good;24/12/2021;01/10/2023;96306,88
251;Full-time;HR;Other;60+;Below College;IT Analyst;Very High;Good;Best;20/01/2021;;139034,07
252;Full-time;Sales;Female;20-30;College;Manager;Medium;Outstanding;Best;17/06/2021;;98142,58
253;Full-time;Research & Development;Male;30-40;College;Manager;Very High;Low;Best;23/12/2021;;136604,5
254;Full-time;Sales;Female;60+;Master;Finance Director;Very High;Excellent;Better;07/11/2021;15/08/2024;128846,6
255;Contractor;Marketing;Female;60+;Master;Sales Executive;Very High;Low;Best;04/06/2021;;134399,32
